Algorithms,Time Key,Time Encrption,Time Decryption
AES_CBC_Small_File,1.3300000000000001e-05,0.0009687000000000001,0.0009182999999999999
AES_CBC_Large_File,1.3300000000000001e-05,0.0138829,0.0163587
AES_CTR_Small_File,8.400000000000001e-06,0.0008948,0.0007028
AES_CTR_Large_File,8.400000000000001e-06,0.0101934,0.012358
AES_CTR_256_Small_File,6.8e-06,0.0010149,0.0014764
AES_CTR_256_Large_File,6.8e-06,0.0119781,0.0108899
TripleDES_Small_File,1.06e-05,0.0140705,0.0149704
TripleDES_Large_File,1.06e-05,0.2496581,0.2511957
RSA_2048_Small_File,0.18576179999999998,0.13723329999999997,1.5687482
RSA_2048_Large_File,0.22008360000000002,0.7391061,3.1895626
RSA_3072_Small_File,0.27622379999999996,0.1070305,2.8231332
RSA_3072_Large_File,0.4381224,0.4643828,5.4587927999999994
DSA_2048_Small_File,0.2955025,0.0011131,0.0011183
DSA_2048_Large_File,0.4690176,0.005593399999999999,0.006304199999999999
DSA_3072_Small_File,0.8508989,0.0012396,0.0010527
DSA_3072_Large_File,1.3439992,0.0055401,0.0056978
